"nNames","P38","P40","P42","P43","P44","P46","P48","P49","P51","P57","P58","P140","P154","P155","P156","P157","P158","P160","P162","P246","P248","P264","P266","P372","P492","P596","P609","P633","P823","P826","P827","P830","P831","P842","P844","P846","P847","P850","P851","P852","P853","P855","P858","P859","P861","P866","P871","P1044","P1045"
" J53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.59
" J54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.52,"0",0,0,"0",0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0.52,0.52
" J55",-0.02,-0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,-0.01,0.01,0,0,0,0,0,0.01,0,0.01,"0.01","0.01",0.02,0,0,"0",0,0,"0",0,-0.01,-0.01,0.56,0.56,0,0,0.58,0.59,0,0,0,0,0,0,0.59,0.59
" J56",0.18,-0.08,0,0,0.08,0,0,0,0,0.03,0.03,0,0.08,-0.08,0.05,0,0,0,0.03,0.03,0.08,0,0.05,"0.08","0.05",0.3,-0.11,0,"0",0,0,"0",0,0.02,-0.01,0.21,0.21,-0.07,-0.04,0.51,0.59,0,0,0,0,0,0,0.59,0.59
" J57",0.09,-0.26,0,0,0.26,0,0,0,0,0.1,0.1,0,0.26,-0.26,0.16,0,0,0,0.1,0.1,0.26,0,0.16,"0.26","0.16",0.15,0.24,0,"0",0,0,"0",0,0.08,-0.04,0.18,0.18,-0.22,-0.12,0.33,0.59,0,0,0,0,0,0,0.59,0.59
" J58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0.56,0.56,0,0,0,0,0,0,0.56,0.56
" J59",0.07,-0.3,0,0,0.3,0,0,0,0,0.11,0.11,0,0.3,-0.3,0.18,0,0,0,0.11,0.11,0.29,0,0.18,"0.3","0.18",0.13,0.2,0,"0",0,0,"0",0,0.09,0.16,0.17,0.17,0.13,0.07,0.29,0.59,0,0,0,0,0,0,0.59,0.59
" J60",0.05,0.21,0,0,0.38,0,0,0,0,0.15,0.15,0,0.38,-0.38,0.23,0,0,0,0.15,0.14,0.37,0,0.23,"0.38","0.23",0.09,0.14,0,"0",0,0,"0",0,0.07,0.11,0.12,0.12,0.09,0.05,0.21,0.59,0,0,0,0,0,0,0.59,0.59
" J61",0,0,0.58,0,0,0,0.58,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.58,"0",0,0,"0",0,0,0,0,0,0,0,0,0.58,0,0,0.58,0,0.58,0,0.58,0.58
" J62",0.07,-0.3,0,0,0.3,0,0,0,0,0.12,0.12,0,0.3,-0.3,0.18,0,0,0,0.12,0.11,0.3,0,0.18,"0.3","0.18",0.13,0.2,0,"0",0,0,"0",0,0.1,-0.42,0.17,0.17,0.13,0.08,0.3,0.6,0,0,0,0,0,0,0.6,0.6
" J64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
" J65",0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0
" J66",0.02,0.08,0,0,0.51,0,0,0,0,-0.03,-0.03,0,-0.08,0.08,-0.05,0,0,0,-0.03,-0.03,-0.08,0,-0.05,"n--0.08","-0.05",0.03,0.05,0,"0",0,0,"0",0,0.03,0.04,0.04,0.04,0.04,0.02,0.08,0.59,0,0,0,0,0,0,0.59,0.59
" J67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0.52,0.52
" J68",0,0,0.58,0,0,0,0.58,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.58,"0",0,0,"0",0,0,0,0,0,0,0,0,0.58,0,0,0.58,0,0,0,0.58,0.58
" J69",0,0,0.59,0,0,0,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.59,"0",0,0,"0",0,0,0,0,0,0,0,0,0.59,0,0,0.59,0,0.59,0.59,0.59,0.59
" J70",0,0,0.59,0,0,0.59,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.59,"0",0,0,"0",0,0,0,0,0,0,0,0,0.59,0,0,0.59,0,0.59,0.59,0.59,0.59
" J71",0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.55,"0",0,0,"0",0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0.55
" J72",0,0,0.56,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.56,"0",0,0,"0",0,0,0,0,0,0,0,0,0.56,0,0,0.56,0.56,0,0,0.56,0.56
" J73",0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.52,"0",0,0,"0",0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0.52,0.52
" J74",0,0,0.56,0,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.56,"0",0,0,"0",0,0,0,0,0,0,0,0,0.56,0,0,0.56,0.56,0,0,0.56,0.56
" J76",0,0,0.59,0,0,0,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.59,"0",0,0,"0",0,0,0,0,0,0,0,0,0.59,0.59,0.59,0.59,0,0,0,0.59,0.59
" J77",0,0,0.56,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.56,"0",0,0,"0",0,0,0,0,0,0,0,0,0.56,0,0,0.56,0,0,0,0.56,0.56
" J84",0.04,0.15,0,0,0.45,0,0,0,0,0.4,-0.2,0,0.45,0.15,0.05,0.01,0,0,0.4,0.4,0.44,0,0.05,"n--0.15","0.05",0.06,0.1,0,"0",0,0,"0",-0.01,0.05,0.08,0.09,0.09,0.07,0.03,0.15,0.6,0,0,0,0,0,0,0.6,0.6
" J85",0.04,0.14,0,0,0.45,0,0,0,0,-0.14,-0.14,0,0.45,0.14,0,0.01,0,0,0.46,0.45,0.45,0,0,"n--0.14","0",0.06,0.1,0,"0",0,0,"0",-0.01,0.05,0.08,0.08,0.08,0.06,0.03,0.14,0.59,0,0,0,0,0,0,0.59,0.59
" J86",0.05,0.19,0,0,0.41,0,0,0,0,0.16,0.16,0,0.41,0.19,0.25,0,0,0,0.16,0.16,0.41,0,0.25,"n--0.19","0.25",0.08,0.13,0,"0",0,0,"0",0,0.06,0.1,0.11,0.11,0.08,0.04,0.19,0.6,0,0,0,0,0,0,0.6,0.6
" J92",0,0,0.58,0,0,0,0.58,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0.58,"0",0,0,"0",0,0,0,0,0,0,0,0,0.58,0,0.58,0.58,0,0,0,0.58,0.58
" J118",-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,"0",0,0,"0",0,0,0,0.56,-0.01,0,0,0.56,0.57,0,0,0,0,0,0,0.57,0.57
" J219",0.05,0.18,0,0,0.4,0,0,0,0,0.16,0.16,0,0.4,0.18,0.25,0,0,0,0.16,0.15,0.4,0,0.25,"0.4","0.25",0.08,0.13,0,"0",0,0,"0",0,0.06,0.1,0.11,0.11,0.08,0.04,0.18,0.59,0,0,0,0,0,0,0.59,0.59
" J220",0.04,0.16,0,0,0.35,0,0,0,0,0.14,0.14,0.51,0.35,0.16,0.21,0,0,0,0.14,0.13,0.35,0,0.21,"0.35","0.21",0.07,0.11,0,"0",0,0,"0",0,0.05,0.09,0.09,0.09,0.07,0.04,0.16,0.51,0,0,0,0,0,0,0.51,0.51
" J236",0.03,0.13,0,0,0.46,0,0,0,0,-0.06,-0.06,0,0.46,0.13,-0.07,0.31,0.38,0.38,-0.06,0.22,0.15,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"n--0.22",0.22,0.09,"0.09",0.28,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.59,0,0,0,0,0,0,0.59,0.59
" J237",0.03,0.13,0,0,0.44,0,0,0,0,-0.06,-0.06,0,0.44,0.13,-0.07,0.3,0.36,0.36,-0.06,0.21,0.15,0,-0.07,"n--0.13","-0.07",0.05,0.09,0,"0.36",0.21,0.09,"0.09",0.27,0.04,0.07,0.07,0.07,0.06,0.03,0.13,0.57,0,0,0,0,0,0,0.57,0.57
" J241",0.04,0.15,0,0,0.44,0,0,0,0,0.05,0.05,0,0.44,0.15,-0.2,0,0,0,0.05,0.05,0.43,0.59,0.38,"n--0.15","-0.2",0.07,0.1,0,"0",0,0,"0",0,0.05,0.08,0.09,0.09,0.07,0.03,0.15,0.59,0,0,0,0,0,0,0.59,0.59
" J242",0.04,0.15,0,0,0.44,0,0,0,0,0.05,0.05,0,0.44,0.15,-0.21,0,0,0,0.05,0.05,0.43,0,0.38,"n--0.15","-0.21",0.07,0.1,0,"0",0,0,"0",0,0.05,0.08,0.09,0.09,0.07,0.03,0.15,0.59,0,0,0,0,0,0,0.59,0.59
" J243",0.04,0.17,0,0,0.43,0,0,0,0,0.11,0.11,0,0.43,0.17,0.32,0,0,0,0.11,0.1,0.43,0,0.32,"n--0.17","n--0.28",0.07,0.12,0,"0",0,0,"0",0,0.05,0.09,0.1,0.1,0.08,0.04,0.17,0.6,0,0,0,0,0,0,0.6,0.6
" J244",0.03,0.13,0,0,0.47,0,0,0,0,-0.06,-0.06,0,0.47,0.13,-0.07,0.39,0.04,0.04,-0.06,0.15,0.07,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"0.04",-0.04,-0.17,"n--0.17",0.21,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.6,0,0,0,0,0,0,0.6,0.6
" J245",0.03,0.13,0,0,0.47,0,0,0,0,-0.05,-0.05,0,0.47,0.13,-0.08,0,0,0,-0.05,-0.05,-0.13,0,-0.08,"n--0.13","-0.08",0.06,0.09,0,"0",0,0,"0",0,0.04,0.07,0.07,0.07,0.06,0.03,0.13,0.6,0,0,0,0,0,0,0.6,0.6
" J246",0.03,0.13,0,0,0.46,0,0,0,0,-0.06,-0.06,0,0.46,0.13,-0.07,0.3,-0.17,0.43,-0.06,0.24,0.17,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"n--0.17",0.17,0.13,"0.13",0.3,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.6,0,0,0,0,0,0,0.6,0.6
" J247",0.03,0.13,0,0,0.46,0,0,0,0,-0.06,-0.06,0,0.46,0.13,-0.07,0.28,-0.04,-0.04,-0.06,0.24,0.17,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"-0.04",0.04,0.24,"n--0.35",0.3,0.04,0.07,0.07,0.07,0.06,0.03,0.13,0.59,0,0,0,0,0,0,0.59,0.59
" J248",0.03,0.13,0,0,0.46,0,0,0,0,-0.06,-0.06,0,0.46,0.13,-0.07,0.26,-0.07,-0.07,-0.06,0.27,0.2,0,-0.07,"n--0.13","-0.07",0.06,0.09,0,"-0.06",0.07,0.19,"0.19",0.33,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.59,0,0,0,0,0,0,0.59,0.59
" J249",0.03,0.14,0,0,0.46,0,0,0,0,-0.08,-0.08,0,0.46,0.14,-0.06,0.01,0,0,-0.08,0.51,0.46,0,-0.06,"n--0.14","-0.06",0.06,0.09,0,"0",0,0.01,"0.01",-0.01,0.04,0.07,0.08,0.08,0.06,0.03,0.14,0.6,0,0,0,0,0,0,0.6,0.6
" J250",0.03,0.13,0,0,0.46,0,0,0,0,-0.05,-0.05,0,0.46,0.13,-0.08,0,0,0,-0.05,-0.05,0.46,0,-0.08,"n--0.13","-0.08",0.06,0.09,0,"0",0,0,"0",0,0.04,0.07,0.08,0.08,0.06,0.03,0.13,0.59,0,0,0,0,0,0,0.59,0.59
