Emit,Nodes,P1044,P1045,P140,P154,P155,P156,P157,P158,P160,P162,P246,P248,P264,P266,P372,P38,P40,P42,P43,P44,P46,P48,P49,P492,P51,P57,P58,P596,P609,P633,P823,P826,P827,P830,P831,P842,P844,P846,P847,P850,P851,P852,P853,P855,P858,P859,P861,P866,P871,J219,J220,J53,J54,J55,J56,J57,J58,J59,J236,J237,J60,J62,J64,J65,J66,J67,J68,J69,J241,J242,J243,J244,J245,J246,J247,J248,J249,J70,J71,J72,J73,J74,J76,J77,J250,J84,J85,J86,J61,J92,J118,T5,J219,J220,J53,J54,J55,J56,J57,J58,J59,J236,J237,J60,J62,J64,J65,J66,J67,J68,J69,J241,J242,J243,J244,J245,J246,J247,J248,J249,J70,J71,J72,J73,J74,J76,J77,J250,J84,J85,J86,J61,J92,J118,T5,J219,J220,J53,J54,J55,J56,J57,J58,J59,J236,J237,J60,J62,J64,J65,J66,J67,J68,J69,J241,J242,J243,J244,J245,J246,J247,J248,J249,J70,J71,J72,J73,J74,J76,J77,J250,J84,J85,J86,J61,J92,J118,T5
0.1, J66,11.111,10.951,0.43,3.92742,0.81258,0.28433,1.2637,0.35234,0.76234,0.47308,1.59938,2.41372,0.27,0.76433,0.06258,0.47631,1.06258,2.45013,0.13,5.04828,0.06,2.16013,0.35,0.22433,1.29,0.23308,0.18308,0.83053,1.21684,2.98013,0.06234,0.42766,0.41604,0.09604,1.1163,0.56574,0.70432,1.33206,1.19206,0.57827,0.28857,2.38258,10.441,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,1.12087,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.111,54.09377,26.07775,21.6635,26.37995,35.42276,34.35941,47.192,30.43124,49.16368,47.86128,32.72114,51.10848,46.16571,24.72158,24.72157,34.21717,25.43378,33.30262,35.29777,36.0991,41.09943,46.09688,35.97827,35.11304,50.8766,48.94192,51.93995,56.10608,36.29765,29.36696,31.34378,26.37237,31.34302,36.28512,30.34492,39.11137,62.28221,61.10332,56.09376,34.29961,34.28629,31.42917,1,106.09377,106.07775,106.6635,106.37995,106.42276,106.35941,106.192,106.43124,106.16368,105.86128,105.86114,106.10848,106.16571,106.72158,106.72157,106.21717,106.43378,106.30262,106.29777,106.0991,106.09943,106.09688,105.97827,106.11304,105.8766,105.94192,105.93995,106.10608,106.29765,106.36696,106.34378,106.37237,106.34302,106.28512,106.34492,106.11137,106.10221,106.10332,106.09376,106.29961,106.28629,106.42917,106.8
0.1, J67,11.03514,10.87514,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,2.45013,0.13,4.53521,0.06,2.16013,0.35,0.27179,1.29,0.26342,0.21342,0.7972,1.16417,2.98013,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.36514,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.54501,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.03514,54.13001,26.11399,21.66523,26.38477,35.4283,34.36963,47.21539,30.43622,49.19017,47.90108,32.76094,51.14221,46.19198,24.72257,24.72256,34.26096,25.4386,33.30744,35.30259,36.13752,41.13786,46.13446,36.01812,35.15298,50.91639,48.98171,51.97973,56.14574,36.30247,29.37179,31.34861,26.37719,31.34784,36.28994,30.34975,39.15121,62.32124,61.14263,56.13001,34.30443,34.29111,31.43427,1,106.13001,106.11399,106.66523,106.38477,106.4283,106.36963,106.21539,106.43622,106.19017,105.90108,105.90094,106.14221,106.19198,106.72257,106.72256,106.26096,106.4386,106.30744,106.30259,106.13752,106.13786,106.13446,106.01812,106.15298,105.91639,105.98171,105.97973,106.14574,106.30247,106.37179,106.34861,106.37719,106.34784,106.28994,106.34975,106.15121,106.14124,106.14263,106.13001,106.30443,106.29111,106.43427,106.8
0.1, J68,11.10279,10.94279,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,3.03279,0.13,4.53521,0.06,2.74279,0.35,0.27179,1.87266,0.26342,0.21342,0.7972,1.16417,3.56279,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.43279,0.29,0.49,2.67279,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.79266,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.10279,54.12571,26.10969,21.66369,26.35941,35.424,34.36533,47.21109,30.43192,49.18587,47.89678,32.75664,51.13791,46.18768,24.72169,24.72168,34.25666,25.4343,33.2208,35.21595,36.13322,41.13356,46.13016,36.01382,35.14868,50.91209,48.97741,51.97543,56.14144,36.21583,29.33975,31.30389,26.34816,31.30313,36.2033,30.30503,39.14691,62.31694,61.13833,56.12571,34.21779,34.20447,31.42997,1,106.12571,106.10969,106.66369,106.35941,106.424,106.36533,106.21109,106.43192,106.18587,105.89678,105.89664,106.13791,106.18768,106.72169,106.72168,106.25666,106.4343,106.2208,106.21595,106.13322,106.13356,106.13016,106.01382,106.14868,105.91209,105.97741,105.97543,106.14144,106.21583,106.33975,106.30389,106.34816,106.30313,106.2033,106.30503,106.14691,106.13694,106.13833,106.12571,106.21779,106.20447,106.42997,106.8
0.1, J69,11.11337,10.95337,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,3.04337,0.13,4.53521,0.06,2.75337,0.35,0.27179,1.88324,0.26342,0.21342,0.7972,1.16417,3.57337,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.44337,0.29,0.49,2.68337,0.35013,1.18324,0.85324,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.79324,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.11337,54.12502,26.109,21.66344,26.35827,35.42331,34.36463,47.2104,30.43122,49.18518,47.89609,32.75594,51.13722,46.18699,24.72155,24.72153,34.25597,25.43361,33.21821,35.19067,36.13253,41.13287,46.12947,36.01312,35.14799,50.9114,48.97672,51.97474,56.14074,36.19055,29.33847,31.30232,26.34694,31.30156,36.20071,30.30346,39.14622,62.31625,61.13764,56.12502,34.2073,34.20188,31.42927,1,106.12502,106.109,106.66344,106.35827,106.42331,106.36463,106.2104,106.43122,106.18518,105.89609,105.89594,106.13722,106.18699,106.72155,106.72153,106.25597,106.43361,106.21821,106.19067,106.13253,106.13287,106.12947,106.01312,106.14799,105.9114,105.97672,105.97474,106.14074,106.19055,106.33847,106.30232,106.34694,106.30156,106.20071,106.30346,106.14622,106.13625,106.13764,106.12502,106.2073,106.20188,106.42927,106.8
0.098, J70,11.10964,10.94964,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,3.03964,0.13,4.53521,0.64951,2.74964,0.35,0.27179,1.87951,0.26342,0.21342,0.7972,1.16417,3.56964,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.43964,0.29,0.49,2.67964,0.35013,1.17951,0.84951,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.64951,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.10964,54.12525,26.10924,21.66352,26.35865,35.42355,34.36487,47.21064,30.43146,49.18541,47.89633,32.75618,51.13746,46.18722,24.7216,24.72158,34.2562,25.43384,33.21905,35.19171,36.13277,41.13311,46.1297,36.01336,35.14822,50.91163,48.97695,51.97497,56.14098,36.1816,29.3389,31.30284,26.34735,31.30208,36.20154,30.30398,39.14646,62.31649,61.13788,56.12525,34.2082,34.20271,31.42951,1,106.12525,106.10924,106.66352,106.35865,106.42355,106.36487,106.21064,106.43146,106.18541,105.89633,105.89618,106.13746,106.18722,106.7216,106.72158,106.2562,106.43384,106.21905,106.19171,106.13277,106.13311,106.1297,106.01336,106.14822,105.91163,105.97695,105.97497,106.14098,106.1816,106.3389,106.30284,106.34735,106.30208,106.20154,106.30398,106.14646,106.13649,106.13788,106.12525,106.2082,106.20271,106.42951,106.8
0.1, J71,11.06995,10.90995,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,2.99995,0.13,4.53521,0.06,2.70995,0.35,0.27179,1.29,0.26342,0.21342,0.7972,1.16417,3.52995,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.39995,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.61982,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.06995,54.1278,26.11178,21.66444,26.36278,35.42609,34.36742,47.21318,30.43401,49.18796,47.89887,32.75873,51.14,46.18977,24.72212,24.72211,34.25875,25.43639,33.27919,35.27435,36.13531,41.13565,46.13225,36.01591,35.15077,50.91418,48.9795,51.97752,56.14353,36.27422,29.34354,31.32036,26.35176,31.3196,36.26169,30.3215,39.149,62.31903,61.14042,56.1278,34.27619,34.26286,31.43206,1,106.1278,106.11178,106.66444,106.36278,106.42609,106.36742,106.21318,106.43401,106.18796,105.89887,105.89873,106.14,106.18977,106.72212,106.72211,106.25875,106.43639,106.27919,106.27435,106.13531,106.13565,106.13225,106.01591,106.15077,105.91418,105.9795,105.97752,106.14353,106.27422,106.34354,106.32036,106.35176,106.3196,106.26169,106.3215,106.149,106.13903,106.14042,106.1278,106.27619,106.26286,106.43206,106.8
0.1, J72,11.07965,10.91965,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,3.00965,0.13,4.53521,0.06,2.71965,0.35,0.27179,1.29,0.26342,0.21342,0.7972,1.16417,3.53965,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.40965,0.29,0.49,2.64965,0.90965,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,0.55965,0.29,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.07965,54.12716,26.11114,21.66421,26.36173,35.42545,34.36678,47.21254,30.43337,49.18732,47.89823,32.75809,51.13937,46.18913,24.72199,24.72198,34.25811,25.43575,33.26585,35.261,36.13468,41.13501,46.13161,36.01527,35.15013,50.91354,48.97886,51.97688,56.14289,36.26088,29.34235,31.30147,26.35063,31.30071,36.24834,30.30815,39.14836,62.31839,61.13979,56.12716,34.26284,34.24951,31.43142,1,106.12716,106.11114,106.66421,106.36173,106.42545,106.36678,106.21254,106.43337,106.18732,105.89823,105.89809,106.13937,106.18913,106.72199,106.72198,106.25811,106.43575,106.26585,106.261,106.13468,106.13501,106.13161,106.01527,106.15013,105.91354,105.97886,105.97688,106.14289,106.26088,106.34235,106.30147,106.35063,106.30071,106.24834,106.30815,106.14836,106.13839,106.13979,106.12716,106.26284,106.24951,106.43142,106.8
0.1, J73,11.04347,10.88347,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,2.97347,0.13,4.53521,0.06,2.16013,0.35,0.27179,1.29,0.26342,0.21342,0.7972,1.16417,3.50347,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.37347,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.81334,0.35,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.04347,54.12948,26.11346,21.66504,26.36549,35.42777,34.3691,47.21486,30.43569,49.18964,47.90055,32.76041,51.14169,46.19145,24.72247,24.72245,34.26043,25.43807,33.2849,35.28005,36.137,41.13733,46.13393,36.01759,35.15245,50.91586,48.98118,51.9792,56.14521,36.27993,29.34924,31.32606,26.35465,31.3253,36.26739,30.3272,39.15068,62.32071,61.14211,56.12948,34.28189,34.26857,31.43374,1,106.12948,106.11346,106.66504,106.36549,106.42777,106.3691,106.21486,106.43569,106.18964,105.90055,105.90041,106.14169,106.19145,106.72247,106.72245,106.26043,106.43807,106.2849,106.28005,106.137,106.13733,106.13393,106.01759,106.15245,105.91586,105.98118,105.9792,106.14521,106.27993,106.34924,106.32606,106.35465,106.3253,106.26739,106.3272,106.15068,106.14071,106.14211,106.12948,106.28189,106.26857,106.43374,106.8
0.1, J74,11.07961,10.91961,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,3.00961,0.13,4.53521,0.06,2.71961,0.90948,0.27179,1.29,0.26342,0.21342,0.7972,1.16417,3.53961,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.40961,0.29,0.49,2.64961,0.90961,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.90948,0.29,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.07961,54.12716,26.11115,21.66421,26.36173,35.42545,34.36678,47.21254,30.43337,49.18732,47.89823,32.75809,51.13937,46.18913,24.72199,24.72198,34.25811,25.43575,33.26585,35.261,36.13468,41.13501,46.13161,36.01527,35.15013,50.91354,48.97886,51.97688,56.14289,36.26088,29.34235,31.30147,26.35063,31.29702,36.24835,30.30816,39.14837,62.3184,61.13979,56.12716,34.26284,34.24952,31.43142,1,106.12716,106.11115,106.66421,106.36173,106.42545,106.36678,106.21254,106.43337,106.18732,105.89823,105.89809,106.13937,106.18913,106.72199,106.72198,106.25811,106.43575,106.26585,106.261,106.13468,106.13501,106.13161,106.01527,106.15013,105.91354,105.97886,105.97688,106.14289,106.26088,106.34235,106.30147,106.35063,106.29702,106.24835,106.30816,106.14837,106.1384,106.13979,106.12716,106.26284,106.24952,106.43142,106.8
0.098, J76,11.1093,10.9493,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,3.0393,0.13,4.53521,0.06,2.7493,0.35,0.27179,1.87917,0.26342,0.21342,0.7972,1.16417,3.5693,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.4393,0.87917,1.07917,2.6793,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.87917,0.45,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.1093,54.12528,26.10926,21.66353,26.35869,35.42357,34.36489,47.21066,30.43148,49.18544,47.89635,32.7562,51.13748,46.18724,24.7216,24.72159,34.25623,25.43387,33.21912,35.21427,36.13279,41.13313,46.12973,36.01338,35.14825,50.91166,48.97698,51.975,56.141,36.21415,29.33894,31.30289,26.34739,31.30213,36.13951,30.30403,39.14648,62.31651,61.1379,56.12528,34.21611,34.14864,31.42953,1,106.12528,106.10926,106.66353,106.35869,106.42357,106.36489,106.21066,106.43148,106.18544,105.89635,105.8962,106.13748,106.18724,106.7216,106.72159,106.25623,106.43387,106.21912,106.21427,106.13279,106.13313,106.12973,106.01338,106.14825,105.91166,105.97698,105.975,106.141,106.21415,106.33894,106.30289,106.34739,106.30213,106.13951,106.30403,106.14648,106.13651,106.1379,106.12528,106.21611,106.14864,106.42953,106.8
0.1, J77,11.07827,10.91827,0.43,4.00521,0.73479,0.33179,1.26415,0.35225,0.76225,0.50342,1.62927,2.49106,0.27,0.81179,0.01521,0.45696,0.98479,3.00827,0.13,4.53521,0.06,2.71827,0.35,0.27179,1.29,0.26342,0.21342,0.7972,1.16417,3.53827,0.06225,0.42775,0.4164,0.0964,1.11585,0.54062,0.66166,1.28758,1.14758,0.54313,0.27103,2.30479,10.40827,0.29,0.49,2.64827,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,1.00814,0.05,0.05,0.24,0.47,0.33,0.2,0.14,-11.07827,54.12727,26.11125,21.66425,26.36193,35.42556,34.36689,47.21265,30.43348,49.18743,47.89834,32.7582,51.13947,46.18924,24.72201,24.722,34.25822,25.43586,33.26614,35.2613,36.13478,41.13512,46.13172,36.01538,35.15024,50.91365,48.97897,51.97699,56.143,36.26117,29.34258,31.30731,26.35085,31.30655,36.24864,30.30845,39.14847,62.3185,61.1399,56.12727,34.26314,34.24981,31.43153,1,106.12727,106.11125,106.66425,106.36193,106.42556,106.36689,106.21265,106.43348,106.18743,105.89834,105.8982,106.13947,106.18924,106.72201,106.722,106.25822,106.43586,106.26614,106.2613,106.13478,106.13512,106.13172,106.01538,106.15024,105.91365,105.97897,105.97699,106.143,106.26117,106.34258,106.30731,106.35085,106.30655,106.24864,106.30845,106.14847,106.1385,106.1399,106.12727,106.26314,106.24981,106.43153,106.8
0.076, J84,11.11975,10.95975,0.43,4.45462,0.885,0.37945,1.26945,0.35112,0.76112,0.90517,2.02572,2.93517,0.27,0.85945,0.135,0.49432,1.135,2.45013,0.13,4.98462,0.06,2.16013,0.35,0.31945,1.29,0.66517,0.01555,0.86154,1.26586,2.98013,0.06112,0.42888,0.42057,0.10057,1.11055,0.58914,0.74403,1.37346,1.23346,0.61097,0.30489,2.455,10.44975,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.64962,0.24,0.47,0.33,0.2,0.14,-11.11975,54.06256,26.04655,21.66329,26.37938,35.42151,34.35364,47.17353,30.43052,49.14216,47.83658,32.69644,51.07979,46.14441,24.72147,24.72145,34.22159,25.4332,33.30204,35.2972,36.07254,41.07287,46.06851,35.95419,35.09011,50.8518,48.91711,51.91496,56.07951,36.29707,29.36639,31.34321,26.37179,31.34245,36.28454,30.34435,39.08771,62.24257,61.07032,56.06251,34.29904,34.28571,31.42833,1,106.06256,106.04655,106.66329,106.37938,106.42151,106.35364,106.17353,106.43052,106.14216,105.83658,105.83644,106.07979,106.14441,106.72147,106.72145,106.22159,106.4332,106.30204,106.2972,106.07254,106.07287,106.06851,105.95419,106.09011,105.8518,105.91711,105.91496,106.07951,106.29707,106.36639,106.34321,106.37179,106.34245,106.28454,106.34435,106.08771,106.06257,106.07032,106.06251,106.29904,106.28571,106.42833,106.8
0.076, J85,11.11407,10.95407,0.43,4.45792,0.87602,0.32776,1.27011,0.35098,0.76098,0.96016,2.08005,2.93781,0.27,0.80776,0.12602,0.49209,1.12602,2.45013,0.13,4.98792,0.06,2.16013,0.35,0.26776,1.29,0.12622,0.07622,0.85769,1.25978,2.98013,0.06098,0.42902,0.42109,0.10109,1.10989,0.58624,0.73911,1.36833,1.22833,0.60691,0.30287,2.44602,10.44407,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.83394,0.47,0.33,0.2,0.14,-11.11407,54.06679,26.05078,21.66342,26.37974,35.42195,34.35465,47.17614,30.4309,49.14516,47.8363,32.69616,51.0837,46.14738,24.72154,24.72153,34.22169,25.43356,33.30241,35.29756,36.07406,41.0744,46.07107,35.95398,35.09003,50.85151,48.91681,51.91465,56.07902,36.29744,29.36675,31.34357,26.37215,31.34281,36.2849,30.34471,39.08763,62.24841,61.06877,56.06675,34.2994,34.28607,31.42872,1,106.06679,106.05078,106.66342,106.37974,106.42195,106.35465,106.17614,106.4309,106.14516,105.8363,105.83616,106.0837,106.14738,106.72154,106.72153,106.22169,106.43356,106.30241,106.29756,106.07406,106.0744,106.07107,105.95398,106.09003,105.85151,105.91681,105.91465,106.07902,106.29744,106.36675,106.34357,106.37215,106.34281,106.2849,106.34471,106.08763,106.06841,106.06877,106.06675,106.2994,106.28607,106.42872,106.8
0.08, J86,11.11907,10.95907,0.43,4.41657,0.92237,0.58329,1.26668,0.35171,0.76171,0.66328,1.78661,2.89989,0.27,1.06329,0.17237,0.50361,1.17237,2.45013,0.13,4.94657,0.06,2.16013,0.35,0.52329,1.29,0.42328,0.37328,0.87754,1.29115,2.98013,0.06171,0.42829,0.41839,0.09839,1.11332,0.60121,0.76453,1.39483,1.25483,0.62784,0.31331,2.49237,10.44907,0.29,0.49,2.09013,0.35013,0.59,0.26,0.32,0.43,0.51,0.53,0.15,0.09,0.35,0.22,0.22,0.29,0.49,0.25,0.15,0.03,0.13,0.53,0.03,0.21,0.2,0.27,0.21,0.06,0.42,0.25,0.41,0.32,0.45,0.01,0.06,0.07,1.30E-04,0.29,0.35,0.29,0.45,0.05,0.05,0.24,1.06894,0.33,0.2,0.14,-11.11907,54.04629,26.03028,21.66331,26.37942,35.42119,34.35094,47.16411,30.43049,49.13112,47.84253,32.70239,51.06489,46.13348,24.72147,24.72146,34.22462,25.43324,33.30209,35.29724,36.07052,41.07085,46.06118,35.95984,35.0952,50.8578,48.92311,51.92105,56.08637,36.29712,29.36643,31.34325,26.37184,31.34249,36.28458,30.34439,39.09286,62.25784,61.0812,56.04621,34.29908,34.28575,31.42823,1,106.04629,106.03028,106.66331,106.37942,106.42119,106.35094,106.16411,106.43049,106.13112,105.84253,105.84239,106.06489,106.13348,106.72147,106.72146,106.22462,106.43324,106.30209,106.29724,106.07052,106.07085,106.06118,105.95984,106.0952,105.8578,105.92311,105.92105,106.08637,106.29712,106.36643,106.34325,106.37184,106.34249,106.28458,106.34439,106.09286,106.07784,106.0812,106.04621,106.29908,106.28575,106.42823,106.8
